CARD_TYPE,COUNT,PERIOD,TRAIN_LINE
Employee,nan,October 2017,T9 Northern Line
Free Travel,nan,October 2017,T9 Northern Line
School Student,nan,October 2017,T9 Northern Line
Senior/Pensioner,nan,October 2017,T9 Northern Line
Sgl Trip Rail Adult,nan,October 2017,T9 Northern Line
Sgl Trip Rail Child/Youth,nan,October 2017,T9 Northern Line
Total,"32,910,234",October 2017,Grand Total
Adult,"8,131,940",November 2017,"T1 North Shore, Northern and Western Line"
Child/Youth,"347,198",November 2017,"T1 North Shore, Northern and Western Line"
Concession,"607,709",November 2017,"T1 North Shore, Northern and Western Line"
Day Pass Child/Youth w/o SAF,nan,November 2017,"T1 North Shore, Northern and Western Line"
Day Pass without SAF,nan,November 2017,"T1 North Shore, Northern and Western Line"
Employee,"91,293",November 2017,"T1 North Shore, Northern and Western Line"
Free Travel,"9,911",November 2017,"T1 North Shore, Northern and Western Line"
School Student,"393,223",November 2017,"T1 North Shore, Northern and Western Line"
Senior/Pensioner,"832,315",November 2017,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Adult,"74,147",November 2017,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Child/Youth,"16,603",November 2017,"T1 North Shore, Northern and Western Line"
Adult,"5,176,662",November 2017,"T2 Airport, Inner West and South Line"
Child/Youth,"196,351",November 2017,"T2 Airport, Inner West and South Line"
Concession,"373,709",November 2017,"T2 Airport, Inner West and South Line"
Day Pass Child/Youth w/o SAF,nan,November 2017,"T2 Airport, Inner West and South Line"
Day Pass without SAF,nan,November 2017,"T2 Airport, Inner West and South Line"
Employee,"62,645",November 2017,"T2 Airport, Inner West and South Line"
Free Travel,"6,182",November 2017,"T2 Airport, Inner West and South Line"
School Student,"165,753",November 2017,"T2 Airport, Inner West and South Line"
Senior/Pensioner,"537,582",November 2017,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Adult,"150,045",November 2017,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Child/Youth,"16,116",November 2017,"T2 Airport, Inner West and South Line"
Adult,"1,819,687",November 2017,T3 Bankstown Line
Child/Youth,"84,767",November 2017,T3 Bankstown Line
Concession,"143,320",November 2017,T3 Bankstown Line
CTP,nan,November 2017,T3 Bankstown Line
Day Pass Child/Youth w/o SAF,nan,November 2017,T3 Bankstown Line
Day Pass without SAF,nan,November 2017,T3 Bankstown Line
Employee,"14,566",November 2017,T3 Bankstown Line
Free Travel,"1,341",November 2017,T3 Bankstown Line
School Student,"64,464",November 2017,T3 Bankstown Line
Senior/Pensioner,"249,416",November 2017,T3 Bankstown Line
Sgl Trip Rail Adult,"16,384",November 2017,T3 Bankstown Line
Sgl Trip Rail Child/Youth,"3,848",November 2017,T3 Bankstown Line
Adult,"4,687,949",November 2017,T4 Eastern Suburbs and Illawarra Line
Child/Youth,"157,387",November 2017,T4 Eastern Suburbs and Illawarra Line
Concession,"255,725",November 2017,T4 Eastern Suburbs and Illawarra Line
CTP,nan,November 2017,T4 Eastern Suburbs and Illawarra Line
Day Pass Child/Youth w/o SAF,nan,November 2017,T4 Eastern Suburbs and Illawarra Line
Day Pass without SAF,nan,November 2017,T4 Eastern Suburbs and Illawarra Line
Employee,"49,219",November 2017,T4 Eastern Suburbs and Illawarra Line
Free Travel,"6,310",November 2017,T4 Eastern Suburbs and Illawarra Line
School Student,"146,245",November 2017,T4 Eastern Suburbs and Illawarra Line
Senior/Pensioner,"502,185",November 2017,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Adult,"47,497",November 2017,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Child/Youth,"9,596",November 2017,T4 Eastern Suburbs and Illawarra Line
Adult,"413,545",November 2017,T5 Cumberland Line
Child/Youth,"15,538",November 2017,T5 Cumberland Line
Concession,"34,800",November 2017,T5 Cumberland Line
CTP,nan,November 2017,T5 Cumberland Line
Employee,"3,199",November 2017,T5 Cumberland Line
Free Travel,85,November 2017,T5 Cumberland Line
School Student,"17,427",November 2017,T5 Cumberland Line
Senior/Pensioner,"54,586",November 2017,T5 Cumberland Line
Sgl Trip Rail Adult,"2,103",November 2017,T5 Cumberland Line
Sgl Trip Rail Child/Youth,437,November 2017,T5 Cumberland Line
Adult,"38,643",November 2017,T6 Carlingford Line
Child/Youth,927,November 2017,T6 Carlingford Line
Concession,"2,449",November 2017,T6 Carlingford Line
CTP,nan,November 2017,T6 Carlingford Line
Day Pass without SAF,nan,November 2017,T6 Carlingford Line
Employee,"1,195",November 2017,T6 Carlingford Line
Free Travel,31,November 2017,T6 Carlingford Line
School Student,"1,270",November 2017,T6 Carlingford Line
Senior/Pensioner,"3,660",November 2017,T6 Carlingford Line
Sgl Trip Rail Adult,78,November 2017,T6 Carlingford Line
Sgl Trip Rail Child/Youth,5,November 2017,T6 Carlingford Line
Adult,"124,790",November 2017,T7 Olympic Park Line
Child/Youth,"10,590",November 2017,T7 Olympic Park Line
Concession,"7,946",November 2017,T7 Olympic Park Line
CTP,nan,November 2017,T7 Olympic Park Line
Day Pass without SAF,nan,November 2017,T7 Olympic Park Line
Employee,423,November 2017,T7 Olympic Park Line
Free Travel,31,November 2017,T7 Olympic Park Line
School Student,"2,499",November 2017,T7 Olympic Park Line
Senior/Pensioner,"8,554",November 2017,T7 Olympic Park Line
Sgl Trip Rail Adult,"1,618",November 2017,T7 Olympic Park Line
Sgl Trip Rail Child/Youth,307,November 2017,T7 Olympic Park Line
Adult,"633,477",November 2017,Blue Mountains Line
Child/Youth,"33,305",November 2017,Blue Mountains Line
Concession,"50,094",November 2017,Blue Mountains Line
CTP,nan,November 2017,Blue Mountains Line
Day Pass Child/Youth w/o SAF,nan,November 2017,Blue Mountains Line
Day Pass without SAF,nan,November 2017,Blue Mountains Line
Employee,"11,385",November 2017,Blue Mountains Line
Free Travel,"1,169",November 2017,Blue Mountains Line
School Student,"28,299",November 2017,Blue Mountains Line
Senior/Pensioner,"113,990",November 2017,Blue Mountains Line
Sgl Trip Rail Adult,"6,620",November 2017,Blue Mountains Line
Sgl Trip Rail Child/Youth,"1,722",November 2017,Blue Mountains Line
Adult,"1,218,336",November 2017,Central Coast Newcastle Line
Child/Youth,"73,170",November 2017,Central Coast Newcastle Line
Concession,"101,472",November 2017,Central Coast Newcastle Line
CTP,nan,November 2017,Central Coast Newcastle Line
Day Pass Child/Youth w/o SAF,nan,November 2017,Central Coast Newcastle Line
Day Pass without SAF,2,November 2017,Central Coast Newcastle Line
Employee,"24,558",November 2017,Central Coast Newcastle Line
Free Travel,"2,649",November 2017,Central Coast Newcastle Line
School Student,"96,471",November 2017,Central Coast Newcastle Line
Senior/Pensioner,"249,938",November 2017,Central Coast Newcastle Line
Sgl Trip Rail Adult,"16,789",November 2017,Central Coast Newcastle Line
Sgl Trip Rail Child/Youth,"3,468",November 2017,Central Coast Newcastle Line
Adult,"40,588",November 2017,Hunter Line
Child/Youth,"4,574",November 2017,Hunter Line
Concession,"7,908",November 2017,Hunter Line
CTP,nan,November 2017,Hunter Line
Day Pass Child/Youth w/o SAF,nan,November 2017,Hunter Line
Day Pass without SAF,nan,November 2017,Hunter Line
Employee,813,November 2017,Hunter Line
Free Travel,169,November 2017,Hunter Line
School Student,"4,316",November 2017,Hunter Line
Senior/Pensioner,"17,575",November 2017,Hunter Line
Sgl Trip Rail Adult,"1,334",November 2017,Hunter Line
Sgl Trip Rail Child/Youth,571,November 2017,Hunter Line
Adult,"593,322",November 2017,South Coast Line
Child/Youth,"30,441",November 2017,South Coast Line
Concession,"47,854",November 2017,South Coast Line
CTP,nan,November 2017,South Coast Line
Day Pass Child/Youth w/o SAF,nan,November 2017,South Coast Line
Day Pass without SAF,nan,November 2017,South Coast Line
Employee,"7,948",November 2017,South Coast Line
Free Travel,894,November 2017,South Coast Line
School Student,"25,978",November 2017,South Coast Line
Senior/Pensioner,"107,753",November 2017,South Coast Line
Sgl Trip Rail Adult,"6,471",November 2017,South Coast Line
Sgl Trip Rail Child/Youth,"1,357",November 2017,South Coast Line
Adult,"57,890",November 2017,Southern Highlands Line
Child/Youth,"6,741",November 2017,Southern Highlands Line
Concession,"5,505",November 2017,Southern Highlands Line
CTP,nan,November 2017,Southern Highlands Line
Day Pass without SAF,nan,November 2017,Southern Highlands Line
Employee,"1,122",November 2017,Southern Highlands Line
Free Travel,177,November 2017,Southern Highlands Line
School Student,"2,370",November 2017,Southern Highlands Line
Senior/Pensioner,"21,466",November 2017,Southern Highlands Line
Sgl Trip Rail Adult,832,November 2017,Southern Highlands Line
Sgl Trip Rail Child/Youth,241,November 2017,Southern Highlands Line
Adult,nan,November 2017,Station Link
Child/Youth,nan,November 2017,Station Link
Concession,nan,November 2017,Station Link
Day Pass without SAF,nan,November 2017,Station Link
Employee,nan,November 2017,Station Link
Free Travel,nan,November 2017,Station Link
School Student,nan,November 2017,Station Link
Senior/Pensioner,nan,November 2017,Station Link
Sgl Trip Rail Adult,nan,November 2017,Station Link
Sgl Trip Rail Child/Youth,nan,November 2017,Station Link
Adult,"477,818",November 2017,T1 North Shore Line
Child/Youth,"20,961",November 2017,T1 North Shore Line
Concession,"31,049",November 2017,T1 North Shore Line
CTP,nan,November 2017,T1 North Shore Line
Day Pass Child/Youth w/o SAF,nan,November 2017,T1 North Shore Line
Day Pass without SAF,nan,November 2017,T1 North Shore Line
Employee,"4,238",November 2017,T1 North Shore Line
Free Travel,673,November 2017,T1 North Shore Line
School Student,"26,106",November 2017,T1 North Shore Line
Senior/Pensioner,"47,420",November 2017,T1 North Shore Line
Sgl Trip Rail Adult,"4,351",November 2017,T1 North Shore Line
Sgl Trip Rail Child/Youth,820,November 2017,T1 North Shore Line
Adult,"609,958",November 2017,T1 Northern Line
Child/Youth,"21,996",November 2017,T1 Northern Line
Concession,"39,951",November 2017,T1 Northern Line
CTP,nan,November 2017,T1 Northern Line
Day Pass Child/Youth w/o SAF,nan,November 2017,T1 Northern Line
Day Pass without SAF,nan,November 2017,T1 Northern Line
Employee,"4,866",November 2017,T1 Northern Line
Free Travel,521,November 2017,T1 Northern Line
School Student,"26,518",November 2017,T1 Northern Line
Senior/Pensioner,"53,008",November 2017,T1 Northern Line
Sgl Trip Rail Adult,"4,876",November 2017,T1 Northern Line
Sgl Trip Rail Child/Youth,822,November 2017,T1 Northern Line
Adult,"544,969",November 2017,T1 Western Line
Child/Youth,"19,068",November 2017,T1 Western Line
Concession,"39,107",November 2017,T1 Western Line
CTP,nan,November 2017,T1 Western Line
Day Pass Child/Youth w/o SAF,nan,November 2017,T1 Western Line
Day Pass without SAF,nan,November 2017,T1 Western Line
Employee,"8,045",November 2017,T1 Western Line
Free Travel,690,November 2017,T1 Western Line
School Student,"26,016",November 2017,T1 Western Line
Senior/Pensioner,"59,965",November 2017,T1 Western Line
Sgl Trip Rail Adult,"3,962",November 2017,T1 Western Line
Sgl Trip Rail Child/Youth,"1,010",November 2017,T1 Western Line
Adult,"289,965",November 2017,T2 Inner West Line
Child/Youth,"8,686",November 2017,T2 Inner West Line
Concession,"18,367",November 2017,T2 Inner West Line
CTP,nan,November 2017,T2 Inner West Line
Day Pass Child/Youth w/o SAF,nan,November 2017,T2 Inner West Line
Day Pass without SAF,nan,November 2017,T2 Inner West Line
Employee,"3,396",November 2017,T2 Inner West Line
Free Travel,218,November 2017,T2 Inner West Line
School Student,"8,719",November 2017,T2 Inner West Line
Senior/Pensioner,"26,314",November 2017,T2 Inner West Line
Sgl Trip Rail Adult,"2,550",November 2017,T2 Inner West Line
Sgl Trip Rail Child/Youth,398,November 2017,T2 Inner West Line
Adult,"364,275",November 2017,T2 Leppington Line
Child/Youth,"13,753",November 2017,T2 Leppington Line
Concession,"30,087",November 2017,T2 Leppington Line
CTP,nan,November 2017,T2 Leppington Line
Day Pass Child/Youth w/o SAF,nan,November 2017,T2 Leppington Line
Day Pass without SAF,nan,November 2017,T2 Leppington Line
Employee,"4,711",November 2017,T2 Leppington Line
Free Travel,493,November 2017,T2 Leppington Line
School Student,"14,275",November 2017,T2 Leppington Line
Senior/Pensioner,"48,301",November 2017,T2 Leppington Line
Sgl Trip Rail Adult,"3,097",November 2017,T2 Leppington Line
Sgl Trip Rail Child/Youth,709,November 2017,T2 Leppington Line
Adult,"539,451",November 2017,T8 Airport and South Line
Child/Youth,"16,691",November 2017,T8 Airport and South Line
Concession,"30,702",November 2017,T8 Airport and South Line
CTP,nan,November 2017,T8 Airport and South Line
Day Pass Child/Youth w/o SAF,nan,November 2017,T8 Airport and South Line
Day Pass without SAF,nan,November 2017,T8 Airport and South Line
Employee,"6,906",November 2017,T8 Airport and South Line
Free Travel,649,November 2017,T8 Airport and South Line
School Student,"15,272",November 2017,T8 Airport and South Line
Senior/Pensioner,"45,746",November 2017,T8 Airport and South Line
Sgl Trip Rail Adult,"23,436",November 2017,T8 Airport and South Line
Sgl Trip Rail Child/Youth,"2,023",November 2017,T8 Airport and South Line
Adult,nan,November 2017,T9 Northern Line
Child/Youth,nan,November 2017,T9 Northern Line
Concession,nan,November 2017,T9 Northern Line
CTP,nan,November 2017,T9 Northern Line
Employee,nan,November 2017,T9 Northern Line
Free Travel,nan,November 2017,T9 Northern Line
School Student,nan,November 2017,T9 Northern Line
Senior/Pensioner,nan,November 2017,T9 Northern Line
Sgl Trip Rail Adult,nan,November 2017,T9 Northern Line
Sgl Trip Rail Child/Youth,nan,November 2017,T9 Northern Line
Total,"33,457,124",November 2017,Grand Total
Adult,nan,December 2017,"T1 North Shore, Northern and Western Line"
Child/Youth,nan,December 2017,"T1 North Shore, Northern and Western Line"
Concession,nan,December 2017,"T1 North Shore, Northern and Western Line"
Day Pass Child/Youth w/o SAF,nan,December 2017,"T1 North Shore, Northern and Western Line"
Day Pass without SAF,nan,December 2017,"T1 North Shore, Northern and Western Line"
Employee,nan,December 2017,"T1 North Shore, Northern and Western Line"
Free Travel,nan,December 2017,"T1 North Shore, Northern and Western Line"
School Student,nan,December 2017,"T1 North Shore, Northern and Western Line"
Senior/Pensioner,nan,December 2017,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Adult,nan,December 2017,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Child/Youth,nan,December 2017,"T1 North Shore, Northern and Western Line"
Adult,nan,December 2017,"T2 Airport, Inner West and South Line"
Child/Youth,nan,December 2017,"T2 Airport, Inner West and South Line"
Concession,nan,December 2017,"T2 Airport, Inner West and South Line"
Day Pass Child/Youth w/o SAF,nan,December 2017,"T2 Airport, Inner West and South Line"
Day Pass without SAF,nan,December 2017,"T2 Airport, Inner West and South Line"
Employee,nan,December 2017,"T2 Airport, Inner West and South Line"
Free Travel,nan,December 2017,"T2 Airport, Inner West and South Line"
School Student,nan,December 2017,"T2 Airport, Inner West and South Line"
Senior/Pensioner,nan,December 2017,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Adult,nan,December 2017,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Child/Youth,nan,December 2017,"T2 Airport, Inner West and South Line"
Adult,"1,665,264",December 2017,T3 Bankstown Line
Child/Youth,"108,790",December 2017,T3 Bankstown Line
Concession,"113,343",December 2017,T3 Bankstown Line
CTP,nan,December 2017,T3 Bankstown Line
Day Pass Child/Youth w/o SAF,nan,December 2017,T3 Bankstown Line
Day Pass without SAF,nan,December 2017,T3 Bankstown Line
Employee,"13,881",December 2017,T3 Bankstown Line
Free Travel,"1,412",December 2017,T3 Bankstown Line
School Student,"25,230",December 2017,T3 Bankstown Line
Senior/Pensioner,"240,528",December 2017,T3 Bankstown Line
Sgl Trip Rail Adult,"21,824",December 2017,T3 Bankstown Line
Sgl Trip Rail Child/Youth,"6,420",December 2017,T3 Bankstown Line
Adult,"4,277,144",December 2017,T4 Eastern Suburbs and Illawarra Line
Child/Youth,"241,888",December 2017,T4 Eastern Suburbs and Illawarra Line
Concession,"214,617",December 2017,T4 Eastern Suburbs and Illawarra Line
CTP,nan,December 2017,T4 Eastern Suburbs and Illawarra Line
Day Pass Child/Youth w/o SAF,nan,December 2017,T4 Eastern Suburbs and Illawarra Line
Day Pass without SAF,nan,December 2017,T4 Eastern Suburbs and Illawarra Line
Employee,"44,061",December 2017,T4 Eastern Suburbs and Illawarra Line
Free Travel,"5,565",December 2017,T4 Eastern Suburbs and Illawarra Line
School Student,"55,404",December 2017,T4 Eastern Suburbs and Illawarra Line
Senior/Pensioner,"485,194",December 2017,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Adult,"54,181",December 2017,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Child/Youth,"15,353",December 2017,T4 Eastern Suburbs and Illawarra Line
Adult,"403,279",December 2017,T5 Cumberland Line
Child/Youth,"24,702",December 2017,T5 Cumberland Line
Concession,"29,105",December 2017,T5 Cumberland Line
CTP,nan,December 2017,T5 Cumberland Line
Employee,"2,911",December 2017,T5 Cumberland Line
Free Travel,80,December 2017,T5 Cumberland Line
School Student,"7,838",December 2017,T5 Cumberland Line
Senior/Pensioner,"54,096",December 2017,T5 Cumberland Line
Sgl Trip Rail Adult,"2,542",December 2017,T5 Cumberland Line
Sgl Trip Rail Child/Youth,718,December 2017,T5 Cumberland Line
Adult,"31,821",December 2017,T6 Carlingford Line
Child/Youth,"1,315",December 2017,T6 Carlingford Line
Concession,"1,687",December 2017,T6 Carlingford Line
CTP,nan,December 2017,T6 Carlingford Line
Day Pass without SAF,nan,December 2017,T6 Carlingford Line
Employee,"1,186",December 2017,T6 Carlingford Line
Free Travel,13,December 2017,T6 Carlingford Line
School Student,551,December 2017,T6 Carlingford Line
Senior/Pensioner,"3,512",December 2017,T6 Carlingford Line
Sgl Trip Rail Adult,90,December 2017,T6 Carlingford Line
Sgl Trip Rail Child/Youth,32,December 2017,T6 Carlingford Line
Adult,"109,677",December 2017,T7 Olympic Park Line
Child/Youth,"6,458",December 2017,T7 Olympic Park Line
Concession,"7,120",December 2017,T7 Olympic Park Line
CTP,nan,December 2017,T7 Olympic Park Line
Day Pass without SAF,nan,December 2017,T7 Olympic Park Line
Employee,378,December 2017,T7 Olympic Park Line
Free Travel,49,December 2017,T7 Olympic Park Line
School Student,845,December 2017,T7 Olympic Park Line
Senior/Pensioner,"8,272",December 2017,T7 Olympic Park Line
Sgl Trip Rail Adult,"1,800",December 2017,T7 Olympic Park Line
Sgl Trip Rail Child/Youth,354,December 2017,T7 Olympic Park Line
Adult,"550,864",December 2017,Blue Mountains Line
Child/Youth,"47,969",December 2017,Blue Mountains Line
Concession,"38,526",December 2017,Blue Mountains Line
CTP,nan,December 2017,Blue Mountains Line
Day Pass Child/Youth w/o SAF,nan,December 2017,Blue Mountains Line
Day Pass without SAF,nan,December 2017,Blue Mountains Line
Employee,"10,413",December 2017,Blue Mountains Line
Free Travel,"1,029",December 2017,Blue Mountains Line
School Student,"11,439",December 2017,Blue Mountains Line
Senior/Pensioner,"102,088",December 2017,Blue Mountains Line
Sgl Trip Rail Adult,"7,562",December 2017,Blue Mountains Line
Sgl Trip Rail Child/Youth,"2,781",December 2017,Blue Mountains Line
Adult,"936,865",December 2017,Central Coast Newcastle Line
Child/Youth,"80,419",December 2017,Central Coast Newcastle Line
Concession,"66,093",December 2017,Central Coast Newcastle Line
CTP,nan,December 2017,Central Coast Newcastle Line
Day Pass Child/Youth w/o SAF,nan,December 2017,Central Coast Newcastle Line
Day Pass without SAF,nan,December 2017,Central Coast Newcastle Line
Employee,"19,941",December 2017,Central Coast Newcastle Line
Free Travel,"2,157",December 2017,Central Coast Newcastle Line
School Student,"33,284",December 2017,Central Coast Newcastle Line
Senior/Pensioner,"205,511",December 2017,Central Coast Newcastle Line
Sgl Trip Rail Adult,"16,861",December 2017,Central Coast Newcastle Line
Sgl Trip Rail Child/Youth,"5,282",December 2017,Central Coast Newcastle Line
Adult,"44,781",December 2017,Hunter Line
Child/Youth,"7,311",December 2017,Hunter Line
Concession,"5,453",December 2017,Hunter Line
CTP,nan,December 2017,Hunter Line
Day Pass Child/Youth w/o SAF,nan,December 2017,Hunter Line
Day Pass without SAF,nan,December 2017,Hunter Line
Employee,"1,483",December 2017,Hunter Line
Free Travel,187,December 2017,Hunter Line
School Student,"3,124",December 2017,Hunter Line
Senior/Pensioner,"19,728",December 2017,Hunter Line
Sgl Trip Rail Adult,"2,404",December 2017,Hunter Line
Sgl Trip Rail Child/Youth,"1,383",December 2017,Hunter Line
Adult,"527,118",December 2017,South Coast Line
Child/Youth,"43,754",December 2017,South Coast Line
Concession,"36,737",December 2017,South Coast Line
CTP,nan,December 2017,South Coast Line
Day Pass Child/Youth w/o SAF,nan,December 2017,South Coast Line
Day Pass without SAF,nan,December 2017,South Coast Line
Employee,"6,812",December 2017,South Coast Line
Free Travel,763,December 2017,South Coast Line
School Student,"8,546",December 2017,South Coast Line
Senior/Pensioner,"98,019",December 2017,South Coast Line
Sgl Trip Rail Adult,"7,607",December 2017,South Coast Line
Sgl Trip Rail Child/Youth,"2,409",December 2017,South Coast Line
Adult,"46,420",December 2017,Southern Highlands Line
Child/Youth,"8,345",December 2017,Southern Highlands Line
Concession,"3,477",December 2017,Southern Highlands Line
CTP,nan,December 2017,Southern Highlands Line
Day Pass without SAF,nan,December 2017,Southern Highlands Line
Employee,746,December 2017,Southern Highlands Line
Free Travel,108,December 2017,Southern Highlands Line
School Student,788,December 2017,Southern Highlands Line
Senior/Pensioner,"17,264",December 2017,Southern Highlands Line
Sgl Trip Rail Adult,712,December 2017,Southern Highlands Line
Sgl Trip Rail Child/Youth,327,December 2017,Southern Highlands Line
Adult,nan,December 2017,Station Link
Child/Youth,nan,December 2017,Station Link
Concession,nan,December 2017,Station Link
Day Pass without SAF,nan,December 2017,Station Link
Employee,nan,December 2017,Station Link
Free Travel,nan,December 2017,Station Link
School Student,nan,December 2017,Station Link
Senior/Pensioner,nan,December 2017,Station Link
Sgl Trip Rail Adult,nan,December 2017,Station Link
Sgl Trip Rail Child/Youth,nan,December 2017,Station Link
Adult,"2,278,694",December 2017,T1 North Shore Line
Child/Youth,"169,048",December 2017,T1 North Shore Line
Concession,"144,417",December 2017,T1 North Shore Line
CTP,nan,December 2017,T1 North Shore Line
Day Pass Child/Youth w/o SAF,nan,December 2017,T1 North Shore Line
Day Pass without SAF,nan,December 2017,T1 North Shore Line
Employee,"19,978",December 2017,T1 North Shore Line
Free Travel,"3,111",December 2017,T1 North Shore Line
School Student,"47,697",December 2017,T1 North Shore Line
Senior/Pensioner,"249,760",December 2017,T1 North Shore Line
Sgl Trip Rail Adult,"30,099",December 2017,T1 North Shore Line
Sgl Trip Rail Child/Youth,"9,011",December 2017,T1 North Shore Line
Adult,"3,051,989",December 2017,T1 Northern Line
Child/Youth,"190,187",December 2017,T1 Northern Line
Concession,"189,860",December 2017,T1 Northern Line
CTP,nan,December 2017,T1 Northern Line
Day Pass Child/Youth w/o SAF,nan,December 2017,T1 Northern Line
Day Pass without SAF,nan,December 2017,T1 Northern Line
Employee,"23,683",December 2017,T1 Northern Line
Free Travel,"2,527",December 2017,T1 Northern Line
School Student,"54,679",December 2017,T1 Northern Line
Senior/Pensioner,"290,449",December 2017,T1 Northern Line
Sgl Trip Rail Adult,"35,443",December 2017,T1 Northern Line
Sgl Trip Rail Child/Youth,"9,142",December 2017,T1 Northern Line
Adult,"2,732,771",December 2017,T1 Western Line
Child/Youth,"161,865",December 2017,T1 Western Line
Concession,"183,195",December 2017,T1 Western Line
CTP,nan,December 2017,T1 Western Line
Day Pass Child/Youth w/o SAF,nan,December 2017,T1 Western Line
Day Pass without SAF,nan,December 2017,T1 Western Line
Employee,"37,668",December 2017,T1 Western Line
Free Travel,"3,250",December 2017,T1 Western Line
School Student,"56,694",December 2017,T1 Western Line
Senior/Pensioner,"324,275",December 2017,T1 Western Line
Sgl Trip Rail Adult,"27,328",December 2017,T1 Western Line
Sgl Trip Rail Child/Youth,"9,415",December 2017,T1 Western Line
Adult,"1,386,437",December 2017,T2 Inner West Line
Child/Youth,"66,135",December 2017,T2 Inner West Line
Concession,"80,009",December 2017,T2 Inner West Line
CTP,nan,December 2017,T2 Inner West Line
Day Pass Child/Youth w/o SAF,nan,December 2017,T2 Inner West Line
Day Pass without SAF,nan,December 2017,T2 Inner West Line
Employee,"14,175",December 2017,T2 Inner West Line
Free Travel,984,December 2017,T2 Inner West Line
School Student,"15,612",December 2017,T2 Inner West Line
Senior/Pensioner,"128,895",December 2017,T2 Inner West Line
Sgl Trip Rail Adult,"18,244",December 2017,T2 Inner West Line
Sgl Trip Rail Child/Youth,"4,133",December 2017,T2 Inner West Line
Adult,"1,939,511",December 2017,T2 Leppington Line
Child/Youth,"118,285",December 2017,T2 Leppington Line
Concession,"145,978",December 2017,T2 Leppington Line
CTP,nan,December 2017,T2 Leppington Line
Day Pass Child/Youth w/o SAF,nan,December 2017,T2 Leppington Line
Day Pass without SAF,nan,December 2017,T2 Leppington Line
Employee,"22,997",December 2017,T2 Leppington Line
Free Travel,"2,526",December 2017,T2 Leppington Line
School Student,"31,486",December 2017,T2 Leppington Line
Senior/Pensioner,"276,388",December 2017,T2 Leppington Line
Sgl Trip Rail Adult,"25,269",December 2017,T2 Leppington Line
Sgl Trip Rail Child/Youth,"7,055",December 2017,T2 Leppington Line
Adult,"2,747,287",December 2017,T8 Airport and South Line
Child/Youth,"146,961",December 2017,T8 Airport and South Line
Concession,"147,310",December 2017,T8 Airport and South Line
CTP,nan,December 2017,T8 Airport and South Line
Day Pass Child/Youth w/o SAF,nan,December 2017,T8 Airport and South Line
Day Pass without SAF,nan,December 2017,T8 Airport and South Line
Employee,"34,266",December 2017,T8 Airport and South Line
Free Travel,"3,068",December 2017,T8 Airport and South Line
School Student,"32,471",December 2017,T8 Airport and South Line
Senior/Pensioner,"245,648",December 2017,T8 Airport and South Line
Sgl Trip Rail Adult,"144,438",December 2017,T8 Airport and South Line
Sgl Trip Rail Child/Youth,"20,666",December 2017,T8 Airport and South Line
Adult,nan,December 2017,T9 Northern Line
Child/Youth,nan,December 2017,T9 Northern Line
Concession,nan,December 2017,T9 Northern Line
CTP,nan,December 2017,T9 Northern Line
Employee,nan,December 2017,T9 Northern Line
Free Travel,nan,December 2017,T9 Northern Line
School Student,nan,December 2017,T9 Northern Line
Senior/Pensioner,nan,December 2017,T9 Northern Line
Sgl Trip Rail Adult,nan,December 2017,T9 Northern Line
Sgl Trip Rail Child/Youth,nan,December 2017,T9 Northern Line
Total,"29,467,889",December 2017,Grand Total
Adult,nan,January 2018,"T1 North Shore, Northern and Western Line"
Child/Youth,nan,January 2018,"T1 North Shore, Northern and Western Line"
Concession,nan,January 2018,"T1 North Shore, Northern and Western Line"
Day Pass Child/Youth w/o SAF,nan,January 2018,"T1 North Shore, Northern and Western Line"
Day Pass without SAF,nan,January 2018,"T1 North Shore, Northern and Western Line"
Employee,nan,January 2018,"T1 North Shore, Northern and Western Line"
Free Travel,nan,January 2018,"T1 North Shore, Northern and Western Line"
School Student,nan,January 2018,"T1 North Shore, Northern and Western Line"
Senior/Pensioner,nan,January 2018,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Adult,nan,January 2018,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Child/Youth,nan,January 2018,"T1 North Shore, Northern and Western Line"
Adult,nan,January 2018,"T2 Airport, Inner West and South Line"
Child/Youth,nan,January 2018,"T2 Airport, Inner West and South Line"
Concession,nan,January 2018,"T2 Airport, Inner West and South Line"
Day Pass Child/Youth w/o SAF,nan,January 2018,"T2 Airport, Inner West and South Line"
Day Pass without SAF,nan,January 2018,"T2 Airport, Inner West and South Line"
Employee,nan,January 2018,"T2 Airport, Inner West and South Line"
Free Travel,nan,January 2018,"T2 Airport, Inner West and South Line"
School Student,nan,January 2018,"T2 Airport, Inner West and South Line"
